Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,symmetric,0.31,0.37966776638752986
75% Corpus,10,symmetric,0.61,0.4189003170920154
75% Corpus,10,symmetric,0.9099999999999999,0.41601066201218684
75% Corpus,10,symmetric,symmetric,0.40465296832525893
75% Corpus,10,asymmetric,0.01,0.40639130886403885
75% Corpus,10,asymmetric,0.31,0.3757231303961061
75% Corpus,10,asymmetric,0.61,0.36341864496766324
75% Corpus,10,asymmetric,0.9099999999999999,0.3689141265331054
75% Corpus,10,asymmetric,symmetric,0.40686730320976794
75% Corpus,11,0.01,0.01,0.4096476688353537
75% Corpus,11,0.01,0.31,0.38949266438066643
75% Corpus,11,0.01,0.61,0.4349680648480322
75% Corpus,11,0.01,0.9099999999999999,0.3823113073948089
75% Corpus,11,0.01,symmetric,0.40974448349696574
75% Corpus,11,0.31,0.01,0.4288101813417077
75% Corpus,11,0.31,0.31,0.43472937023934327
75% Corpus,11,0.31,0.61,0.4479242405628357
75% Corpus,11,0.31,0.9099999999999999,0.40055356696244326
75% Corpus,11,0.31,symmetric,0.4329629267321458
75% Corpus,11,0.61,0.01,0.45919848788004086
75% Corpus,11,0.61,0.31,0.45346487354025894
75% Corpus,11,0.61,0.61,0.4784677765219586
75% Corpus,11,0.61,0.9099999999999999,0.45011930498167096
75% Corpus,11,0.61,symmetric,0.4735155721804879
75% Corpus,11,0.9099999999999999,0.01,0.4263118200834878
75% Corpus,11,0.9099999999999999,0.31,0.4404534689574926
75% Corpus,11,0.9099999999999999,0.61,0.4281743945944795
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.4228023585399717
75% Corpus,11,0.9099999999999999,symmetric,0.44821020057472916
75% Corpus,11,symmetric,0.01,0.4080940602162685
75% Corpus,11,symmetric,0.31,0.40234927602638165
75% Corpus,11,symmetric,0.61,0.4303934549000177
75% Corpus,11,symmetric,0.9099999999999999,0.40373573673236507
75% Corpus,11,symmetric,symmetric,0.39540837166112947
75% Corpus,11,asymmetric,0.01,0.4077444427787091
75% Corpus,11,asymmetric,0.31,0.35687646215037755
75% Corpus,11,asymmetric,0.61,0.3664867944208033
75% Corpus,11,asymmetric,0.9099999999999999,0.3620769098006961
75% Corpus,11,asymmetric,symmetric,0.4141428977762024
75% Corpus,12,0.01,0.01,0.4211339057423741
75% Corpus,12,0.01,0.31,0.35177686769774474
