Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.01,0.01,0.3787708794870519
75% Corpus,7,0.01,0.31,0.39266416566142903
75% Corpus,7,0.01,0.61,0.38581037378751304
75% Corpus,7,0.01,0.9099999999999999,0.4096095412542621
75% Corpus,7,0.01,symmetric,0.38826634535181065
75% Corpus,7,0.31,0.01,0.38950193941049227
75% Corpus,7,0.31,0.31,0.3596958425680543
75% Corpus,7,0.31,0.61,0.4104728467805918
75% Corpus,7,0.31,0.9099999999999999,0.4483515133283458
75% Corpus,7,0.31,symmetric,0.3895093353214036
75% Corpus,7,0.61,0.01,0.3629226561310058
75% Corpus,7,0.61,0.31,0.3997108467040548
75% Corpus,7,0.61,0.61,0.45304786196903324
75% Corpus,7,0.61,0.9099999999999999,0.4209246516361187
75% Corpus,7,0.61,symmetric,0.3835212445695026
75% Corpus,7,0.9099999999999999,0.01,0.35834322816137176
75% Corpus,7,0.9099999999999999,0.31,0.34110413546823465
75% Corpus,7,0.9099999999999999,0.61,0.35367650967844616
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4130459262838464
75% Corpus,7,0.9099999999999999,symmetric,0.3395191440380013
75% Corpus,7,symmetric,0.01,0.4037312459205006
75% Corpus,7,symmetric,0.31,0.34713025498335115
75% Corpus,7,symmetric,0.61,0.3915190207368595
75% Corpus,7,symmetric,0.9099999999999999,0.42493721720208893
75% Corpus,7,symmetric,symmetric,0.36520635591350864
75% Corpus,7,asymmetric,0.01,0.372320149519055
75% Corpus,7,asymmetric,0.31,0.33526339387937654
75% Corpus,7,asymmetric,0.61,0.42334118757511324
75% Corpus,7,asymmetric,0.9099999999999999,0.45861690934293664
75% Corpus,7,asymmetric,symmetric,0.36647174165131846
75% Corpus,8,0.01,0.01,0.391953464737136
75% Corpus,8,0.01,0.31,0.375846693110483
75% Corpus,8,0.01,0.61,0.4014792298160249
75% Corpus,8,0.01,0.9099999999999999,0.37859586290199554
75% Corpus,8,0.01,symmetric,0.36399108368763966
75% Corpus,8,0.31,0.01,0.3591197150010711
75% Corpus,8,0.31,0.31,0.37049449864382006
75% Corpus,8,0.31,0.61,0.39570632844787795
75% Corpus,8,0.31,0.9099999999999999,0.45035151049339756
75% Corpus,8,0.31,symmetric,0.3849500960334771
75% Corpus,8,0.61,0.01,0.3697169207853575
75% Corpus,8,0.61,0.31,0.4051607607936213
75% Corpus,8,0.61,0.61,0.42034095980214703
75% Corpus,8,0.61,0.9099999999999999,0.4508318693244145
75% Corpus,8,0.61,symmetric,0.33386875153297624
75% Corpus,8,0.9099999999999999,0.01,0.33660936415398507
75% Corpus,8,0.9099999999999999,0.31,0.35046786229351534
75% Corpus,8,0.9099999999999999,0.61,0.3898595500197942
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3964413560124771
75% Corpus,8,0.9099999999999999,symmetric,0.3242361509826475
75% Corpus,8,symmetric,0.01,0.4074879508238302
75% Corpus,8,symmetric,0.31,0.37591243355813786
75% Corpus,8,symmetric,0.61,0.4141027712425882
75% Corpus,8,symmetric,0.9099999999999999,0.42014123607318365
75% Corpus,8,symmetric,symmetric,0.37629567787758367
75% Corpus,8,asymmetric,0.01,0.37133578457651956
75% Corpus,8,asymmetric,0.31,0.3617572003167459
75% Corpus,8,asymmetric,0.61,0.3889247154050468
75% Corpus,8,asymmetric,0.9099999999999999,0.46054067813822075
75% Corpus,8,asymmetric,symmetric,0.35899182074063035
75% Corpus,9,0.01,0.01,0.3968484549613912
75% Corpus,9,0.01,0.31,0.3979814413985586
75% Corpus,9,0.01,0.61,0.4008405173030224
75% Corpus,9,0.01,0.9099999999999999,0.40241349269467674
75% Corpus,9,0.01,symmetric,0.40148290152712296
75% Corpus,9,0.31,0.01,0.38322414146364436
75% Corpus,9,0.31,0.31,0.36525101803087
75% Corpus,9,0.31,0.61,0.3813448835134952
75% Corpus,9,0.31,0.9099999999999999,0.43128292556086034
75% Corpus,9,0.31,symmetric,0.3734594382870733
75% Corpus,9,0.61,0.01,0.3496870128750754
75% Corpus,9,0.61,0.31,0.4059440872972244
75% Corpus,9,0.61,0.61,0.3768503271002273
75% Corpus,9,0.61,0.9099999999999999,0.4159498304785635
75% Corpus,9,0.61,symmetric,0.3879981077893796
75% Corpus,9,0.9099999999999999,0.01,0.3294476820498245
75% Corpus,9,0.9099999999999999,0.31,0.3496811079138192
75% Corpus,9,0.9099999999999999,0.61,0.3706062053269402
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4266204626232943
75% Corpus,9,0.9099999999999999,symmetric,0.3644752557586813
75% Corpus,9,symmetric,0.01,0.38152420361951334
75% Corpus,9,symmetric,0.31,0.3969623495265643
75% Corpus,9,symmetric,0.61,0.4181721500134018
75% Corpus,9,symmetric,0.9099999999999999,0.4600383205850222
75% Corpus,9,symmetric,symmetric,0.3941500055744607
75% Corpus,9,asymmetric,0.01,0.3672255169610458
75% Corpus,9,asymmetric,0.31,0.33523160177530276
75% Corpus,9,asymmetric,0.61,0.42769332001704674
75% Corpus,9,asymmetric,0.9099999999999999,0.4389822528018243
75% Corpus,9,asymmetric,symmetric,0.35535911076125004
75% Corpus,10,0.01,0.01,0.39648968853442523
75% Corpus,10,0.01,0.31,0.3683428978319271
75% Corpus,10,0.01,0.61,0.4095245031981302
75% Corpus,10,0.01,0.9099999999999999,0.36869551390846134
75% Corpus,10,0.01,symmetric,0.39352187159317936
75% Corpus,10,0.31,0.01,0.35441557605485974
75% Corpus,10,0.31,0.31,0.37315305708810775
75% Corpus,10,0.31,0.61,0.3927805707908412
75% Corpus,10,0.31,0.9099999999999999,0.4712032238120975
75% Corpus,10,0.31,symmetric,0.3807595197285999
75% Corpus,10,0.61,0.01,0.3741794385619553
75% Corpus,10,0.61,0.31,0.3514721050740177
75% Corpus,10,0.61,0.61,0.40964748507219556
75% Corpus,10,0.61,0.9099999999999999,0.41407556558903214
75% Corpus,10,0.61,symmetric,0.37723130198420457
75% Corpus,10,0.9099999999999999,0.01,0.32293950894895007
75% Corpus,10,0.9099999999999999,0.31,0.3383611339654105
75% Corpus,10,0.9099999999999999,0.61,0.3927232243673962
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3971921139471307
75% Corpus,10,0.9099999999999999,symmetric,0.3312403626182076
75% Corpus,10,symmetric,0.01,0.40042292361556003
75% Corpus,10,symmetric,0.31,0.3406903283686754
75% Corpus,10,symmetric,0.61,0.41700170404674813
